epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,309.982,1.09666,0.98938,1.12698,0.84582,0.85574,0.88454,0.61131,1.08644,0.79821,1.1716,0.0005941,0.0005941,0.0005941
43,315.657,1.08405,0.98618,1.11224,0.78694,0.83103,0.87752,0.6077,1.03431,0.87001,1.18164,0.0005842,0.0005842,0.0005842
44,323.241,1.11205,0.99872,1.12016,0.77493,0.84536,0.84491,0.58341,1.06231,0.94756,1.19693,0.0005743,0.0005743,0.0005743
45,330.062,1.0429,0.96855,1.11578,0.81082,0.80648,0.86834,0.608,1.05661,0.8602,1.18998,0.0005644,0.0005644,0.0005644
46,336.638,1.04914,0.95976,1.1127,0.77384,0.81701,0.85866,0.60959,1.00944,0.85137,1.17813,0.0005545,0.0005545,0.0005545
47,344.826,1.04818,0.96126,1.10423,0.82255,0.84842,0.86388,0.59185,1.08482,0.84819,1.20615,0.0005446,0.0005446,0.0005446
48,350.885,1.03338,0.94957,1.09651,0.85476,0.86175,0.8705,0.62586,0.98428,0.84241,1.15304,0.0005347,0.0005347,0.0005347
49,359.548,1.04221,0.95,1.10501,0.84218,0.78877,0.87439,0.64337,0.92395,0.7677,1.12583,0.0005248,0.0005248,0.0005248
50,365.828,1.03702,0.92972,1.09641,0.818,0.88181,0.87997,0.62453,0.98996,0.7477,1.15176,0.0005149,0.0005149,0.0005149
51,372.427,1.03089,0.92339,1.09494,0.83443,0.88955,0.87367,0.62941,0.97723,0.75369,1.14317,0.000505,0.000505,0.000505
52,379.882,1.02983,0.91919,1.09491,0.80424,0.87542,0.85915,0.61333,0.96494,0.80233,1.14881,0.0004951,0.0004951,0.0004951
53,385.591,1.01494,0.92814,1.09558,0.80726,0.841,0.87281,0.59961,1.07469,0.83252,1.18647,0.0004852,0.0004852,0.0004852
54,394.182,1.03374,0.91868,1.08426,0.80051,0.89272,0.88305,0.6302,0.95848,0.78602,1.14512,0.0004753,0.0004753,0.0004753
55,400.306,1.02464,0.9168,1.10121,0.83328,0.87943,0.88637,0.611,1.0693,0.7914,1.20946,0.0004654,0.0004654,0.0004654
56,407.467,0.99391,0.90427,1.08225,0.81968,0.84364,0.88886,0.65194,0.90152,0.77015,1.12467,0.0004555,0.0004555,0.0004555
57,414.82,1.01941,0.90285,1.0882,0.80765,0.87793,0.89684,0.65219,0.92522,0.76283,1.1229,0.0004456,0.0004456,0.0004456
58,420.892,0.97654,0.8814,1.0791,0.83994,0.86029,0.90171,0.66218,0.9022,0.78987,1.11309,0.0004357,0.0004357,0.0004357
59,429.538,1.00443,0.89124,1.0841,0.84041,0.85577,0.89973,0.67727,0.90287,0.7452,1.10853,0.0004258,0.0004258,0.0004258
60,435.506,0.98945,0.87586,1.07571,0.81491,0.86829,0.89732,0.67697,0.87122,0.7367,1.08079,0.0004159,0.0004159,0.0004159
61,443.363,0.98359,0.89018,1.0747,0.83966,0.87968,0.88359,0.66829,0.89107,0.72149,1.09661,0.000406,0.000406,0.000406
62,450.039,0.97711,0.86508,1.06732,0.81673,0.8882,0.89122,0.67383,0.87907,0.69656,1.09928,0.0003961,0.0003961,0.0003961
63,456.018,0.95239,0.85312,1.06127,0.84972,0.83284,0.89903,0.67014,0.87737,0.68079,1.09904,0.0003862,0.0003862,0.0003862
64,464.224,0.96438,0.85827,1.06914,0.85151,0.87289,0.90862,0.67305,0.9189,0.65719,1.11085,0.0003763,0.0003763,0.0003763
65,469.942,0.9717,0.87033,1.07101,0.83484,0.87396,0.89658,0.66336,0.90443,0.74377,1.10608,0.0003664,0.0003664,0.0003664
66,478.167,0.97518,0.85198,1.06142,0.85672,0.85395,0.89041,0.67009,0.87068,0.71175,1.08969,0.0003565,0.0003565,0.0003565
67,485.021,0.95088,0.84702,1.05188,0.8765,0.82937,0.88039,0.64106,0.94928,0.74098,1.1295,0.0003466,0.0003466,0.0003466
